village_id,all_text
64000230001,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以62.7%的得票率領先，第二高票為國民黨侯友宜，拿下20.2%，兩人相差42.5個百分點。第三高票為民眾黨柯文哲，得票率達17.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達75.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達77.2%。
2024年立委選舉：高雄市阿蓮區石安里所屬的高雄市第1選區，民進黨邱議瑩以67.3%領先，民眾黨曾尹儷以得票率16%為第二高票。政黨票方面，民進黨以56.6％在該區取得領先，其後為國民黨19.4%、民眾黨15.1%。
社會經濟背景：該區39歲以下人口佔比約28.9%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為34.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為35.1萬元，相較全國，是收入較低的村里。"
64000230002,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以64.6%的得票率領先，第二高票為國民黨侯友宜，拿下18.2%，兩人相差46.4個百分點。第三高票為民眾黨柯文哲，得票率達17.2%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達77.7％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達78.6%。
2024年立委選舉：高雄市阿蓮區中路里所屬的高雄市第1選區，民進黨邱議瑩以70.4%領先，民眾黨曾尹儷以得票率15%為第二高票。政黨票方面，民進黨以59.4％在該區取得領先，其後為國民黨19.2%、民眾黨13.9%。
社會經濟背景：該區39歲以下人口佔比約29.9%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為36.1%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為39.6萬元，相較全國，是收入較低的村里。"
64000230003,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以59.5%的得票率領先，第二高票為國民黨侯友宜，拿下23.9%，兩人相差35.6個百分點。第三高票為民眾黨柯文哲，得票率達16.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.6％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達75.5%。
2024年立委選舉：高雄市阿蓮區峯山里所屬的高雄市第1選區，民進黨邱議瑩以62.4%領先，無黨籍林義迪以得票率23.2%為第二高票。政黨票方面，民進黨以55.2％在該區取得領先，其後為國民黨24.7%、民眾黨13.6%。
社會經濟背景：該區39歲以下人口佔比約32.1%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為33.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.3萬元，相較全國，是收入較低的村里。"
64000230004,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以51.7%的得票率領先，第二高票為國民黨侯友宜，拿下27.1%，兩人相差24.6個百分點。第三高票為民眾黨柯文哲，得票率達21.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達65.7％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達65.7%。
2024年立委選舉：高雄市阿蓮區港後里所屬的高雄市第1選區，民進黨邱議瑩以56.2%領先，無黨籍林義迪以得票率22.9%為第二高票。政黨票方面，民進黨以46.5％在該區取得領先，其後為國民黨28.8%、民眾黨16.7%。
社會經濟背景：該區39歲以下人口佔比約34.2%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為38.7%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為34.1萬元，相較全國，是收入較低的村里。"
64000230005,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以52.3%的得票率領先，第二高票為國民黨侯友宜，拿下25.6%，兩人相差26.7個百分點。第三高票為民眾黨柯文哲，得票率達22.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達70.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達67.4%。
2024年立委選舉：高雄市阿蓮區崗山里所屬的高雄市第1選區，民進黨邱議瑩以61.2%領先，無黨籍林義迪以得票率21.3%為第二高票。政黨票方面，民進黨以48.2％在該區取得領先，其後為國民黨27%、民眾黨17.5%。
社會經濟背景：該區39歲以下人口佔比約31.9%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為33.8%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為41萬元，接近全國平均。"
64000230006,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以53.3%的得票率領先，第二高票為國民黨侯友宜，拿下24.1%，兩人相差29.2個百分點。第三高票為民眾黨柯文哲，得票率達22.6%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達68.1％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達68.9%。
2024年立委選舉：高雄市阿蓮區阿蓮里所屬的高雄市第1選區，民進黨邱議瑩以58.5%領先，無黨籍林義迪以得票率21.3%為第二高票。政黨票方面，民進黨以48.8％在該區取得領先，其後為國民黨25.9%、民眾黨17.9%。
社會經濟背景：該區39歲以下人口佔比約33.8%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為40.1%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.8萬元，相較全國，是收入較低的村里。"
64000230007,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以57.1%的得票率領先，第二高票為國民黨侯友宜，拿下23.1%，兩人相差34個百分點。第三高票為民眾黨柯文哲，得票率達19.8%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達69.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達70.4%。
2024年立委選舉：高雄市阿蓮區清蓮里所屬的高雄市第1選區，民進黨邱議瑩以61%領先，無黨籍林義迪以得票率20.3%為第二高票。政黨票方面，民進黨以52.4％在該區取得領先，其後為國民黨23.8%、民眾黨16.6%。
社會經濟背景：該區39歲以下人口佔比約33%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為41%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為38.5萬元，相較全國，是收入較低的村里。"
64000230008,"2024年總統大選結果：該區和全國結果不同，第一高票由民進黨賴清德以得票率58%領先，接著為民眾黨柯文哲，拿下得票率22%，跟第一高票相差36個百分點。第三高票為國民黨侯友宜，得票率達20%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達72.8％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達74.6%。
2024年立委選舉：高雄市阿蓮區和蓮里所屬的高雄市第1選區，民進黨邱議瑩以65.7%領先，無黨籍林義迪以得票率16.9%為第二高票。政黨票方面，民進黨以53.9％在該區取得領先，其後為國民黨21.8%、民眾黨17.8%。
社會經濟背景：該區39歲以下人口佔比約32.7%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為40.3%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為39.4萬元，相較全國，是收入較低的村里。"
64000230009,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以51.1%的得票率領先，第二高票為國民黨侯友宜，拿下24.8%，兩人相差26.3個百分點。第三高票為民眾黨柯文哲，得票率達24.1%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達65.2％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達67.9%。
2024年立委選舉：高雄市阿蓮區青旗里所屬的高雄市第1選區，民進黨邱議瑩以56.1%領先，無黨籍林義迪以得票率23.4%為第二高票。政黨票方面，民進黨以46.1％在該區取得領先，其後為國民黨26.4%、民眾黨18.1%。
社會經濟背景：該區39歲以下人口佔比約33.1%，相較全國，是較年輕的村里。具有大專以上學歷人口佔比約為37%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為37萬元，相較全國，是收入較低的村里。"
64000230010,"2024年總統大選結果：該區和全國結果相同，由民進黨賴清德以55.1%的得票率領先，第二高票為國民黨侯友宜，拿下25.4%，兩人相差29.7個百分點。第三高票為民眾黨柯文哲，得票率達19.5%。
歷史選舉對比：2020年總統大選時，該區由民進黨蔡英文領先，得票率達65.4％；2016年總統大選該區也同樣支持民進黨，蔡英文得票率達68.4%。
2024年立委選舉：高雄市阿蓮區復安里所屬的高雄市第1選區，民進黨邱議瑩以60.2%領先，無黨籍林義迪以得票率22.7%為第二高票。政黨票方面，民進黨以51.1％在該區取得領先，其後為國民黨27%、民眾黨14.4%。
社會經濟背景：該區39歲以下人口佔比約29.8%，相較全國，是較年長的村里。具有大專以上學歷人口佔比約為32.5%，相較全國，是高學歷人口佔比偏低的村里。綜合所得中位數為34.1萬元，相較全國，是收入較低的村里。"
